Title
Zion NP

Year,RecreationVisitors,TotalRecreationVisitors
1919,"1,814","137,947,697"
1920,"3,692","137,947,697"
1921,"2,937","137,947,697"
1922,"4,109","137,947,697"
1923,"6,408","137,947,697"
1924,"8,400","137,947,697"
1925,"16,817","137,947,697"
1926,"21,964","137,947,697"
1927,"24,303","137,947,697"
1928,"30,016","137,947,697"
1929,"33,383","137,947,697"
1930,"55,297","137,947,697"
1931,"59,186","137,947,697"
1932,"51,650","137,947,697"
1933,"48,763","137,947,697"
1934,"68,801","137,947,697"
1935,"97,280","137,947,697"
1936,"124,393","137,947,697"
1937,"137,404","137,947,697"
1938,"149,075","137,947,697"
1939,"158,063","137,947,697"
1940,"165,029","137,947,697"
1941,"192,805","137,947,697"
1942,"68,797","137,947,697"
1943,"44,089","137,947,697"
1944,"42,243","137,947,697"
1945,"78,280","137,947,697"
1946,"212,280","137,947,697"
1947,"273,953","137,947,697"
1948,"297,571","137,947,697"
1949,"307,881","137,947,697"
1950,"323,402","137,947,697"
1951,"331,079","137,947,697"
1952,"352,921","137,947,697"
1953,"389,445","137,947,697"
1954,"416,800","137,947,697"
1955,"406,800","137,947,697"
1956,"421,200","137,947,697"
1957,"525,100","137,947,697"
1958,"590,700","137,947,697"
1959,"585,000","137,947,697"
1960,"575,800","137,947,697"
1961,"604,700","137,947,697"
1962,"622,100","137,947,697"
1963,"681,100","137,947,697"
1964,"705,200","137,947,697"
1965,"763,600","137,947,697"
1966,"815,200","137,947,697"
1967,"788,400","137,947,697"
1968,"877,100","137,947,697"
1969,"904,300","137,947,697"
1970,"903,600","137,947,697"
1971,"897,000","137,947,697"
1972,"889,417","137,947,697"
1973,"993,800","137,947,697"
1974,"859,300","137,947,697"
1975,"1,055,200","137,947,697"
1976,"1,090,000","137,947,697"
1977,"1,105,900","137,947,697"
1978,"1,193,212","137,947,697"
1979,"1,040,528","137,947,697"
1980,"1,123,846","137,947,697"
1981,"1,288,808","137,947,697"
1982,"1,246,290","137,947,697"
1983,"1,273,030","137,947,697"
1984,"1,377,254","137,947,697"
1985,"1,503,272","137,947,697"
1986,"1,670,503","137,947,697"
1987,"1,777,619","137,947,697"
1988,"1,948,332","137,947,697"
1989,"1,998,856","137,947,697"
1990,"2,102,400","137,947,697"
1991,"2,236,997","137,947,697"
1992,"2,390,626","137,947,697"
1993,"2,392,580","137,947,697"
1994,"2,270,871","137,947,697"
1995,"2,430,162","137,947,697"
1996,"2,498,001","137,947,697"
1997,"2,445,534","137,947,697"
1998,"2,370,048","137,947,697"
1999,"2,449,664","137,947,697"
2000,"2,432,348","137,947,697"
2001,"2,217,779","137,947,697"
2002,"2,592,545","137,947,697"
2003,"2,458,792","137,947,697"
2004,"2,677,342","137,947,697"
2005,"2,586,665","137,947,697"
2006,"2,567,350","137,947,697"
2007,"2,657,281","137,947,697"
2008,"2,690,154","137,947,697"
2009,"2,735,402","137,947,697"
2010,"2,665,972","137,947,697"
2011,"2,825,505","137,947,697"
2012,"2,973,607","137,947,697"
2013,"2,807,387","137,947,697"
2014,"3,189,696","137,947,697"
2015,"3,648,846","137,947,697"
2016,"4,295,127","137,947,697"
2017,"4,504,812","137,947,697"
2018,"4,320,033","137,947,697"
2019,"4,488,268","137,947,697"
2020,"3,591,254","137,947,697"
2021,"5,039,835","137,947,697"
2022,"4,692,417","137,947,697"

