Country,Sex,Year,reading,mathematics,science,unemployed_and_not_in_school_15_19,Gini
Australia,Male,2000,512.6,NA,NA,6.4,0.317
Australia,Male,2012,495.1,510.1,523.7,7.6,0.326
Australia,Male,2018,487.2,494.3,503.7,6.8,0.325
Australia,Female,2000,546.3,NA,NA,7.3,0.317
Australia,Female,2012,529.5,497.8,519.1,6.9,0.326
Australia,Female,2018,518.6,488.3,502.2,3.8,0.325
Austria,Male,2009,449.3,505.7,498.3,6.7,0.28900000000000003
Austria,Male,2012,471.1,516.7,510.1,5,0.276
Austria,Male,2015,474.8,510.1,504.4,7.1,0.275
Austria,Male,2018,470.6,505.5,490.9,5.6,0.28
Austria,Female,2009,490.5,486.5,490.5,6.5,0.28900000000000003
Austria,Female,2012,508,494.5,501.5,4.5,0.276
Austria,Female,2015,495.1,483.1,485.5,4.3,0.275
Austria,Female,2018,498.7,492.2,488.6,4.9,0.28
Belgium,Male,2009,492.7,525.9,509.7,5.2,0.269
Belgium,Male,2012,492.8,520.1,506.8,10.1,0.262
Belgium,Male,2018,482,514.1,501.2,3.8,0.258
Belgium,Female,2009,519.8,504.2,503.3,6.2,0.269
Belgium,Female,2012,524.6,508.9,502.9,6.4,0.262
Belgium,Female,2018,503.7,502,496.4,4,0.258
Canada,Male,2000,518.9,NA,NA,8.7,0.315
Canada,Male,2009,507.2,532.7,531,9.5,0.316
Canada,Male,2012,505.5,523.1,526.9,8,0.317
Canada,Male,2015,513.5,520.2,528.3,7.3,0.318
Canada,Male,2018,505.7,514.5,516.5,7.1,0.304
Canada,Female,2000,551.1,NA,NA,7.7,0.315
Canada,Female,2009,541.5,520.8,526.4,6.5,0.316
Canada,Female,2012,540.7,513,524,6.4,0.317
Canada,Female,2015,539.8,511.1,527.2,6.2,0.318
Canada,Female,2018,534.7,509.5,519.6,4.7,0.304
Czech Republic,Male,2009,455.5,495.1,498.2,3.5,0.257
Czech Republic,Male,2012,474,504.7,508.7,4.6,0.254
Czech Republic,Male,2015,474.5,495.8,497,3.2,0.258
Czech Republic,Male,2018,474,501.2,496,2.3,0.24900000000000003
Czech Republic,Female,2009,504,490.2,503.1,3.5,0.257
Czech Republic,Female,2012,512.8,492.9,507.9,3.3,0.254
Czech Republic,Female,2015,500.7,488.7,488.4,2.9,0.258
Czech Republic,Female,2018,507.2,497.7,497.6,2.5,0.24900000000000003
Denmark,Male,2000,485.4,NA,NA,1.9,0.227
Denmark,Male,2009,480.4,511.4,505.2,4.9,0.23800000000000002
Denmark,Male,2012,480.9,507,503.5,6.3,0.24900000000000003
Denmark,Male,2015,488.8,515.8,504.9,4.4,0.263
Denmark,Male,2018,486.5,511.3,491.6,4.2,0.263
Denmark,Female,2000,510.2,NA,NA,3.6,0.227
Denmark,Female,2009,509.2,495.3,493.6,3.5,0.23800000000000002
Denmark,Female,2012,511.5,493,493.4,6.3,0.24900000000000003
Denmark,Female,2015,511,506.4,498.9,4.3,0.263
Denmark,Female,2018,515.8,507.5,493.7,3.9,0.263
Finland,Male,2000,520.1,NA,NA,NA,0.254
Finland,Male,2009,508.4,541.8,546.4,6,0.259
Finland,Male,2012,494,517.4,537.4,4.6,0.26
Finland,Male,2015,504,507.5,521.5,5.4,0.26
Finland,Male,2018,494.8,504.3,510.2,4.9,0.269
Finland,Female,2000,571.4,NA,NA,NA,0.254
Finland,Female,2009,563.5,539.2,561.8,4.3,0.259
Finland,Female,2012,555.7,520.2,553.9,4.8,0.26
Finland,Female,2015,550.5,515,540.5,4.9,0.26
Finland,Female,2018,546.3,510.4,534,4.3,0.269
France,Male,2000,490.3,NA,NA,7.3,0.28700000000000003
France,Male,2009,475,505.1,499.9,7.2,0.29300000000000004
France,Male,2012,483,499.4,497.7,7.7,0.305
France,Male,2015,484.6,495.9,495.9,8.7,0.29500000000000004
France,Male,2018,480.3,498.5,492.5,7.8,0.301
France,Female,2000,519.1,NA,NA,6.7,0.28700000000000003
France,Female,2009,515.2,488.9,496.6,6.4,0.29300000000000004
France,Female,2012,526.8,490.9,500.2,6,0.305
France,Female,2015,513.8,490,494,6.1,0.29500000000000004
France,Female,2018,505.2,492.2,493.5,5.8,0.301
Germany,Male,2000,467.6,NA,NA,5.2,0.264
Germany,Male,2009,477.9,520.4,523.1,3.6,0.28800000000000003
Germany,Male,2012,486,520.2,523.9,2.9,0.28900000000000003
Germany,Male,2015,498.9,514.1,514.3,2.5,0.29300000000000004
Germany,Male,2018,486.3,503.3,502.5,3.1,0.28900000000000003
Germany,Female,2000,502.2,NA,NA,6.3,0.264
Germany,Female,2009,517.6,504.8,517.6,3.9,0.28800000000000003
Germany,Female,2012,530.1,506.6,524.4,3.2,0.28900000000000003
Germany,Female,2015,519.7,497.5,503.8,2.6,0.29300000000000004
Germany,Female,2018,512.2,496.2,503.6,3.7,0.28900000000000003
Greece,Male,2009,458.8,473.1,465.2,8.1,0.32999999999999996
Greece,Male,2012,451.7,457,460,10.4,0.33799999999999997
Greece,Male,2015,449.1,453.7,450.6,9.5,0.33999999999999997
Greece,Male,2018,436.6,451.5,446.1,7.5,0.306
Greece,Female,2009,505.9,459.3,474.9,7.7,0.32999999999999996
Greece,Female,2012,502.2,449,473.3,10.9,0.33799999999999997
Greece,Female,2015,486.5,453.6,459.4,7.3,0.33999999999999997
Greece,Female,2018,478.8,451.2,457.4,8.7,0.306
Hungary,Male,2000,464.5,NA,NA,8.6,0.29300000000000004
Hungary,Male,2009,475.4,496.1,502.7,5.4,0.24100000000000002
Hungary,Male,2012,468,481.7,495.9,4.5,0.279
Hungary,Male,2015,457.1,480.9,478.2,5.7,0.28400000000000003
Hungary,Male,2018,462.6,485.5,484,5.3,0.28
Hungary,Female,2000,496.2,NA,NA,8.6,0.29300000000000004
Hungary,Female,2009,513.3,484.1,502.6,5.9,0.24100000000000002
Hungary,Female,2012,507.5,472.7,492.8,5.1,0.279
Hungary,Female,2015,482,472.7,475.2,6.6,0.28400000000000003
Hungary,Female,2018,489.1,476.7,477.9,8.3,0.28
Iceland,Male,2009,478.1,508.4,496.5,7.7,0.266
Iceland,Male,2012,457.3,489.7,476.7,9.2,0.252
Iceland,Male,2015,460.1,487.4,471.7,5.1,0.257
Iceland,Female,2009,522.2,504.9,494.7,6.5,0.266
Iceland,Female,2012,508.4,495.9,479.7,4.2,0.252
Iceland,Female,2015,501.7,488.6,474.7,2.2,0.257
Ireland,Male,2009,476.3,490.9,506.6,12.1,0.312
Ireland,Male,2012,509.2,509,523.9,9.8,0.31
Ireland,Male,2015,515,511.6,507.7,9.2,0.29800000000000004
Ireland,Male,2018,506.4,502.6,495.4,6.4,0.29200000000000004
Ireland,Female,2009,515.5,483.3,509.4,9.9,0.312
Ireland,Female,2012,537.7,493.7,520,9.4,0.31
Ireland,Female,2015,526.9,495.4,497.2,6.7,0.29800000000000004
Ireland,Female,2018,529.6,496.7,496.9,5.6,0.29200000000000004
Italy,Male,2000,469.2,NA,NA,12.2,0.323
Italy,Male,2009,463.8,490,487.9,11.9,0.315
Italy,Male,2012,470.9,494.2,494.9,13,0.32999999999999996
Italy,Male,2015,476.7,499.8,489.1,12.3,0.33299999999999996
Italy,Male,2018,464.3,494.1,469.6,11.1,0.32999999999999996
Italy,Female,2000,507.4,NA,NA,14.1,0.323
Italy,Female,2009,509.5,475.4,489.8,10.4,0.315
Italy,Female,2012,509.9,475.8,492.1,10.9,0.32999999999999996
Italy,Female,2015,492.7,479.8,472.1,10.5,0.33299999999999996
Italy,Female,2018,489.1,478.5,466.3,10.8,0.32999999999999996
Japan,Male,2000,507.3,NA,NA,NA,0.33699999999999997
Japan,Male,2009,501,533.6,533.8,4.9,0.33599999999999997
Japan,Male,2012,526.6,544.9,551.9,4.2,0.32999999999999996
Japan,Male,2015,509.4,539.3,545.1,NA,0.33899999999999997
Japan,Male,2018,493.4,532.2,530.6,NA,0.33399999999999996
Japan,Female,2000,536.9,NA,NA,NA,0.33699999999999997
Japan,Female,2009,539.9,524.1,545.4,4.9,0.33599999999999997
Japan,Female,2012,550.7,527,541,3.5,0.32999999999999996
Japan,Female,2015,522.7,525.5,531.5,NA,0.33899999999999997
Japan,Female,2018,513.8,522,527.8,NA,0.33399999999999996
Korea,Male,2009,522.5,547.8,536.8,NA,0.314
Korea,Male,2012,525,562.1,539.4,NA,0.385
Korea,Male,2015,498.1,520.8,511.2,NA,0.352
Korea,Male,2018,502.8,527.9,520.9,NA,0.345
Korea,Female,2009,558,544.5,539.3,NA,0.314
Korea,Female,2012,548.2,544.2,535.9,NA,0.385
Korea,Female,2015,538.6,527.8,520.8,NA,0.352
Korea,Female,2018,526.4,523.8,516.9,NA,0.345
